nr_doubly,number_citations,paper_id,booktitle,pdf_url
2,-1,conf_sigir_Ha-ThucS16,SIGIR,NOURLFOUND
1,-1,conf_sigir_LiKG16,SIGIR,NOURLFOUND
0,-1,conf_sigir_MaiyaVW15,SIGIR,NOURLFOUND
0,-1,conf_sigir_LongCWY16,SIGIR,NOURLFOUND
3,-1,conf_sigir_GottschalkD16,SIGIR,NOURLFOUND
2,-1,conf_sigir_McAuleyTSH15,SIGIR,NOURLFOUND
0,-1,conf_sigir_KurlandL04,SIGIR,NOURLFOUND
0,-1,conf_sigir_BalikasAC16,SIGIR,NOURLFOUND
0,-1,conf_sigir_LukeSM13,SIGIR,NOURLFOUND
0,-1,conf_sigir_VeigaE16,SIGIR,NOURLFOUND
0,-1,conf_sigir_SchoenherrW14,SIGIR,NOURLFOUND
0,-1,conf_sigir_LewisG94,SIGIR,NOURLFOUND
0,-1,conf_sigir_LiomaLL12,SIGIR,NOURLFOUND
0,-1,conf_sigir_LiomaSLH15,SIGIR,NOURLFOUND
4,-1,conf_sigir_TrevisiolABB15,SIGIR,NOURLFOUND
6,-1,conf_sigir_ColettoLOP16,SIGIR,NOURLFOUND
7,-1,conf_sigir_RoyGCL12,SIGIR,NOURLFOUND
4,-1,conf_sigir_ZhangWCL10,SIGIR,NOURLFOUND
0,-1,conf_sigir_AndoL01,SIGIR,NOURLFOUND
2,-1,conf_sigir_HolzmannNA16,SIGIR,NOURLFOUND
4,-1,conf_sigir_FungCAT90,SIGIR,NOURLFOUND
1,-1,conf_sigir_BrostCSL16,SIGIR,NOURLFOUND
